1 - PROTECTORA DE LAS VIRTUDES | BARCELONA, ANZOÁTEGUI
2 - PERFECTA ARMONÍA | CUMANÁ, SUCRE
3 - UNANIMIDAD | LA GUAIRA, LA GUAIRA
4 - FRATERNIDAD | CARACAS, DISTRITO CAPITAL
5 - LA UNIÓN | CARACAS, DISTRITO CAPITAL
6 - REGENERADORES | MARACAIBO, ZULIA
7 - ESPERANZA | CARACAS, DISTRITO CAPITAL
8 - FÉNIX | VALENCIA, CARABOBO
9 - VICTORIA | LA VICTORIA, ARAGUA
13 - ASILO DE LA PAZ | CIUDAD BOLÍVAR, BOLÍVAR
18 - PORVENIR | CARACAS, DISTRITO CAPITAL
19 - LEALTAD | CARACAS, DISTRITO CAPITAL
20 - ESTRELLA DEL GUÁRICO | CALABOZO, GUÁRICO
22 - VIRTUD Y ORDEN | CARÚPANO, SUCRE
24 - BELLA ALTAGRACIA | CUMANA, SUCRE
26 - AURORA DE PETARE | CARACAS, DISTRITO CAPITAL
27 - CANDOR | SAN FERNANDO DE APURE, APURE
28 - PEDRO COVA | UPATA, BOLÍVAR
33 - ANDRÉS BELLO | CARACAS, DISTRITO CAPITAL
36 - CONCORDIA | GUANARE, PORTUGUESA
37 - SOL DE AMÉRICA | CARACAS, DISTRITO CAPITAL
38 - LUZ DE UNARE | ZARAZA, GUÁRICO
41 - ESTRELLA DE GUANIPA | EL TIGRE, ANZOÁTEGUI
44 - LUZ DEL CARIBE | PUERTO LA CRUZ, ANZOÁTEGUI
50 - ESTRELLA DEL ÁVILA | CARACAS, DISTRITO CAPITAL
53 - AURORA DEL YURUARI | SAN FÉLIX, BOLÍVAR
54 - ESTRELLA DE LAS PAMPAS | EL SOCORRO, GUÁRICO
55 - AURORA DE LA PAZ | TUCUPIDO, GUÁRICO
67 - DIOS Y PATRIA | TUMEREMO, BOLÍVAR
71 - SOL NACIENTE | TUCACAS, FALCÓN
72 - RENOVACIÓN | CARACAS, DISTRITO CAPITAL
73 - FRANCISCO DE MIRANDA | TUCUPITA, DELTA AMACURO
75 - DALLA COSTA | EL CALLAO, BOLÍVAR
76 - SIMÓN BOLÍVAR | PÍRITU, ANZOÁTEGUI
78 - SINAÍ | ALTAGRACIA DE ORITUCO, GUÁRICO
79 - JUAN BAUTISTA ARISMENDI | JUAN GRIEGO, NUEVA ESPARTA
81 - LUZ DE LA FRATERNIDAD | MATURÍN, MONAGAS
82 - RICAURTE | CABIMAS, ZULIA
83 - LUZ Y ARMONÍA | SAN JOSÉ DE GUARIBE, GUÁRICO
84 - SOL DE NUEVA ESPARTA | PORLAMAR, NUEVA ESPARTA
85 - SOL DEL TÁCHIRA | SAN CRISTÓBAL, TÁCHIRA
89 - LIBERTADOR | VALLE DE LA PASCUA, GUÁRICO
91 - BOLÍVAR Y MORILLO | VALERA, TRUJILLO
94 - LUZ Y PROGRESO | CARIPE, MONAGAS
95 - AMANTES DE LA CARIDAD | PUERTO CABELLO, CARABOBO
96 - SOL DE ARAGUA | MARACAY, ARAGUA
100 - GEORGE WASHINGTON LODGE | CARACAS, DISTRITO CAPITAL
101 - LIBERTAD ESPAÑOLA | CARACAS, DISTRITO CAPITAL
102 - HIRAM | ARUBA, ARUBA
104 - FALCÓN | PUNTO FIJO, FALCÓN
105 - ANTONIO JOSÉ DE SUCRE | QUIRIQUIRE, MONAGAS
106 - ASILO LLANERO | LAS MERCEDES DEL LLANO, GUÁRICO
107 - ESTRELLA DE SAN JUAN | SAN JUAN DE LOS MORROS, GUÁRICO
110 - ARMONÍA | PUNTA DE MATA, MONAGAS
111 - OASIS DE LA PAZ | BARINAS, BARINAS
113 - SÍMBOLO | CARACAS, DISTRITO CAPITAL
114 - GANDHI | CARACAS, DISTRITO CAPITAL
115 - TEOFILO LEAL | BARQUISIMETO, LARA
116 - BUENA VISTA LODGE | MARACAIBO, ZULIA
117 - SOL DE ANZOÁTEGUI | CANTAURA, ANZOÁTEGUI
118 - ESTRELLA BOLÍVAR | CARACAS, DISTRITO CAPITAL
119 - DE MOLAY | CARACAS, DISTRITO CAPITAL
126 - GRAL. RAFAEL URDANETA | MARACAIBO, ZULIA
127 - ESTRELLA DE ARAGUA | CAGUA, ARAGUA
128 - SOL DE IMATACA | EL PALMAR, BOLÍVAR
130 - ESTRELLA GUZMÁN BLANCO | EL DORADO, BOLÍVAR
131 - LUZ DE MIRANDA | PARIAGUAN, ANZOÁTEGUI
141 - HUMBOLDT | CARACAS, DISTRITO CAPITAL
142 - GIORDANO BRUNO | CARACAS, DISTRITO CAPITAL
145 - IGUALDAD | CARACAS, DISTRITO CAPITAL
146 - JESÚS ENRIQUE LOSSADA | CIUDAD OJEDA, ZULIA
147 - JOSÉ CORTÉS MADARIAGA | ANACO, ANZOÁTEGUI
148 - GRAL. JOSÉ FÉLIX RIBAS | OCUMARE DEL TUY, MIRANDA
150 - ILUSTRE AMERICANO | CARACAS, DISTRITO CAPITAL
155 - MORAL Y LUCES | GUARENAS, MIRANDA
157 - LA FAYETTE | CARACAS, DISTRITO CAPITAL
158 - LIBERTAD Y DERECHO | BARQUISIMETO, LARA
159 - LUZ DEL AMAZONAS | PUERTO AYACUCHO, AMAZONAS
160 - PERSEVERANCIA | TEMBLADOR, MONAGAS
161 - LUZ DEL ORINOCO | CAICARA DEL ORINOCO, BOLÍVAR
162 - DERECHOS HUMANOS | MÉRIDA, MÉRIDA
163 - URANIA | VALENCIA, CARABOBO
164 - MANUEL PIAR | CIUDAD PIAR, BOLÍVAR
165 - ESTRELLA DEL SUR | BARRANCAS, MONAGAS
166 - PIO GIL | SAN CRISTÓBAL, TÁCHIRA
