NOMBRE_LOGIA,NUMERO_LOGIA,ORIENTE,ESTADO
PROTECTORA DE LAS VIRTUDES,1,BARCELONA,ANZOÁTEGUI
PERFECTA ARMONÍA,2,CUMANÁ,SUCRE
UNANIMIDAD,3,LA GUAIRA,LA GUAIRA
FRATERNIDAD,4,CARACAS,DISTRITO CAPITAL
LA UNIÓN,5,CARACAS,DISTRITO CAPITAL
REGENERADORES,6,MARACAIBO,ZULIA
ESPERANZA,7,CARACAS,DISTRITO CAPITAL
FÉNIX,8,VALENCIA,CARABOBO
VICTORIA,9,LA VICTORIA,ARAGUA
ASILO DE LA PAZ,13,CIUDAD BOLÍVAR,BOLÍVAR
PORVENIR,18,CARACAS,DISTRITO CAPITAL
LEALTAD,19,CARACAS,DISTRITO CAPITAL
ESTRELLA DEL GUÁRICO,20,CALABOZO,GUÁRICO
VIRTUD Y ORDEN,22,CARÚPANO,SUCRE
BELLA ALTAGRACIA,24,CUMANA,SUCRE
AURORA DE PETARE,26,CARACAS,DISTRITO CAPITAL
CANDOR,27,SAN FERNANDO DE APURE,APURE
PEDRO COVA,28,UPATA,BOLÍVAR
ANDRÉS BELLO,33,CARACAS,DISTRITO CAPITAL
CONCORDIA,36,GUANARE,PORTUGUESA
SOL DE AMÉRICA,37,CARACAS,DISTRITO CAPITAL
LUZ DE UNARE,38,ZARAZA,GUÁRICO
ESTRELLA DE GUANIPA,41,EL TIGRE,ANZOÁTEGUI
LUZ DEL CARIBE,44,PUERTO LA CRUZ,ANZOÁTEGUI
ESTRELLA DEL ÁVILA,50,CARACAS,DISTRITO CAPITAL
AURORA DEL YURUARI,53,SAN FÉLIX,BOLÍVAR
ESTRELLA DE LAS PAMPAS,54,EL SOCORRO,GUÁRICO
AURORA DE LA PAZ,55,TUCUPIDO,GUÁRICO
DIOS Y PATRIA,67,TUMEREMO,BOLÍVAR
SOL NACIENTE,71,TUCACAS,FALCÓN
RENOVACIÓN,72,CARACAS,DISTRITO CAPITAL
FRANCISCO DE MIRANDA,73,TUCUPITA,DELTA AMACURO
DALLA COSTA,75,EL CALLAO,BOLÍVAR
SIMÓN BOLÍVAR,76,PÍRITU,ANZOÁTEGUI
SINAÍ,78,ALTAGRACIA DE ORITUCO,GUÁRICO
JUAN BAUTISTA ARISMENDI,79,JUAN GRIEGO,NUEVA ESPARTA
LUZ DE LA FRATERNIDAD,81,MATURÍN,MONAGAS
RICAURTE,82,CABIMAS,ZULIA
